"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"Contest Name:","copa ACONCAGUA 2da Fecha Chile"
"Simple Sum",82.5,81.0,87.0,87.0,88.5
"K-Factored Sum",3304.5,3248.0,3486.0,3504.0,3611.5
"Penalty",0.0,0.0,0.0,0.0,0.0
"Flight Score",3304.5,3248.0,3486.0,3504.0,3611.5
"Known Flights: Rounds 1-3, Judge/Sheet #3"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1"
"1: Reverse Half Cuban (k=53)",4.0,5.0,5.0,6.0,4.0
"2: Diagonal Humpty Bump (k=43)",0.0,4.0,4.0,5.0,5.0
"3: Stall Turn (Hammerhead) (k=62)",5.0,3.0,4.0,6.0,5.0
"4: Rolling Turn (k=46)",2.0,2.0,3.0,4.0,3.0
"5: Reverse Vertical 5/8 Loop (Teardrop) (k=43)",3.0,5.0,4.0,5.0,5.0
"6: Humpty Bump (k=38)",4.0,5.0,4.0,5.0,6.0
"7: Half Loop (Immelmann) (k=49)",4.0,3.0,4.0,4.0,4.0
"8: Down Loop (k=27)",3.0,3.0,5.0,5.0,3.0
"9: Spin/Vertical 5/8 Loop (k=48)",4.0,2.0,3.0,5.0,4.0
"10: Horizontal S (k=51)",4.0,4.0,6.0,6.0,4.0
"11: Sound (k=15)",5.0,5.0,6.0,6.0,6.0
"12: Airspace Control (k=15)",6.0,6.0,7.0,7.0,6.0
"Simple Sum",44.0,47.0,55.0,64.0,55.0
"K-Factored Sum",1733.0,1813.0,2123.0,2566.0,2171.0
"Penalty",0.0,0.0,0.0,0.0,0.0
"Flight Score",1733.0,1813.0,2123.0,2566.0,2171.0
""
"Unknown Flights: Round 1, Judge/Sheet #1"
" ","R1"
"1:  (k=61)",7.0
"2:  (k=23)",7.0
"3:  (k=47)",7.0
"4:  (k=57)",7.0
"5:  (k=39)",8.0
"6:  (k=62)",7.5
"7:  (k=25)",8.0
"8:  (k=25)",6.0
"9:  (k=52)",6.0
"10:  (k=37)",8.0
"Simple Sum",71.5
"K-Factored Sum",3051.0
"Penalty",0.0
"Flight Score",3051.0
"Unknown Flights: Round 1, Judge/Sheet #2"
" ","R1"
"1:  (k=61)",8.0
"2:  (k=23)",9.0
"3:  (k=47)",6.0
"4:  (k=57)",9.0
"5:  (k=39)",7.0
"6:  (k=62)",7.0
"7:  (k=25)",9.0
"8:  (k=25)",8.0
"9:  (k=52)",7.0
"10:  (k=37)",7.0
"Simple Sum",77.0
"K-Factored Sum",3245.0
"Penalty",0.0
"Flight Score",3245.0
"Unknown Flights: Round 1, Judge/Sheet #3"
" ","R1"
"1:  (k=61)",4.0
"2:  (k=23)",4.0
"3:  (k=47)",3.0
"4:  (k=57)",6.0
"5:  (k=39)",5.0
"6:  (k=62)",3.0
"7:  (k=25)",5.0
"8:  (k=25)",3.0
"9:  (k=52)",5.0
"10:  (k=37)",4.0
"Simple Sum",42.0
"K-Factored Sum",1808.0
"Penalty",0.0
"Flight Score",1808.0
""
"Freestyle Flights: Round 1, Judge/Sheet #1"
" ","R1"
"1: A: Use of Total Flight Area (k=20)",6.0
"2: B: Originality and Complexity (k=20)",4.0
"3: C: Precision (k=20)",6.0
"4: D: Artistic Impression and Presentation (k=30)",6.0
"5: E: Choreography (k=30)",6.0
"Simple Sum",28.0
"Time of flight","4:00"
"K-Factored Sum",680.0
"Penalty",0.0
"Flight Score",680.0
"Freestyle Flights: Round 1, Judge/Sheet #2"
" ","R1"
"1: A: Use of Total Flight Area (k=20)",10.0
"2: B: Originality and Complexity (k=20)",7.0
"3: C: Precision (k=20)",8.0
"4: D: Artistic Impression and Presentation (k=30)",8.0
"5: E: Choreography (k=30)",8.0
"Simple Sum",41.0
"Time of flight","4:00"
"K-Factored Sum",980.0
"Penalty",0.0
"Flight Score",980.0
"Freestyle Flights: Round 1, Judge/Sheet #3"
" ","R1"
"1: A: Use of Total Flight Area (k=20)",9.0
"2: B: Originality and Complexity (k=20)",7.0
"3: C: Precision (k=20)",7.0
"4: D: Artistic Impression and Presentation (k=30)",8.0
"5: E: Choreography (k=30)",7.0
"Simple Sum",38.0
"Time of flight","4:00"
"K-Factored Sum",910.0
"Penalty",0.0
"Flight Score",910.0
"Freestyle Flights: Round 1, Judge/Sheet #4"
" ","R1"
"1: A: Use of Total Flight Area (k=20)",8.0
"2: B: Originality and Complexity (k=20)",7.0
"3: C: Precision (k=20)",7.0
"4: D: Artistic Impression and Presentation (k=30)",8.0
"5: E: Choreography (k=30)",8.0
"Simple Sum",38.0
"Time of flight","4:00"
"K-Factored Sum",920.0
"Penalty",0.0
"Flight Score",920.0
"Freestyle Flights: Round 1, Judge/Sheet #5"
" ","R1"
"1: A: Use of Total Flight Area (k=20)",7.0
"2: B: Originality and Complexity (k=20)",6.5
"3: C: Precision (k=20)",6.0
"4: D: Artistic Impression and Presentation (k=30)",6.5
"5: E: Choreography (k=30)",6.0
"Simple Sum",32.0
"Time of flight","4:00"
"K-Factored Sum",765.0
"Penalty",0.0
"Flight Score",765.0
"Freestyle Flights: Round 1, Judge/Sheet #6"
" ","R1"
"1: A: Use of Total Flight Area (k=20)",5.0
"2: B: Originality and Complexity (k=20)",5.0
"3: C: Precision (k=20)",4.0
"4: D: Artistic Impression and Presentation (k=30)",4.0
"5: E: Choreography (k=30)",5.0
"Simple Sum",23.0
"Time of flight","4:00"
"K-Factored Sum",550.0
"Penalty",0.0
"Flight Score",550.0
