"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"Contest Name:","copa ACONCAGUA 2da Fecha Chile"
"Type:","Pilot Report"
"Timestamp:","1-nov-2022 10:09"
"Pilot:","Nicolas Valencia / CACH #109 / Basic"
""
"Known Flights: Rounds 1-4, Judge/Sheet #1"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"6: Reverse 1/2 Cuban (k=16)",4.0,0.0,6.0,4.0,4.0,0.0
"7: Loop (k=10)",4.0,0.0,3.0,3.0,5.0,3.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",6.0,0.0,5.0,4.0,5.0,5.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",6.0,0.0,6.0,0.0,6.0,4.0
"10: 1 1/2 PositiveTurn Spin (k=13)",5.0,0.0,0.0,0.0,6.0,5.0
"11: Sound (k=3)",6.0,0.0,6.0,6.0,6.0,6.0
"12: Airspace Control (k=3)",7.0,0.0,5.0,5.0,4.0,4.0
"Simple Sum",64.0,0.0,57.0,45.0,62.0,53.0
"K-Factored Sum",716.0,0.0,640.0,514.0,718.0,583.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",716.0,0.0,640.0,514.0,718.0,583.0
"Known Flights: Rounds 1-4, Judge/Sheet #4"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"1: Aileron Roll (k=10)",5.0,0.0,7.0,7.0,8.0,7.0
"2: Shark's Tooth (k=17)",4.0,0.0,6.0,6.0,7.0,7.0
"3: Humpty Bump (k=17)",5.0,0.0,5.0,6.0,7.0,7.0
"4: 360 Aerobatic Turn (k=6)",6.0,0.0,5.0,6.0,6.0,5.0
"5: Stall Turn Hamerhead (k=17)",6.0,0.0,6.0,6.0,7.0,6.0
"6: Reverse 1/2 Cuban (k=16)",4.0,0.0,5.0,5.0,4.0,0.0
"7: Loop (k=10)",5.0,0.0,4.0,5.0,5.0,6.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",6.0,0.0,3.0,5.0,7.0,7.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",6.0,0.0,6.0,0.0,6.0,7.0
"10: 1 1/2 PositiveTurn Spin (k=13)",4.0,0.0,0.0,3.0,6.0,5.0
"11: Sound (k=3)",5.0,0.0,6.0,6.0,7.0,5.0
"12: Airspace Control (k=3)",5.0,0.0,6.0,6.0,6.0,5.0
"Simple Sum",61.0,0.0,59.0,61.0,76.0,67.0
"K-Factored Sum",693.0,0.0,653.0,697.0,876.0,777.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",693.0,0.0,653.0,697.0,876.0,777.0
""
""
