"This file was written by the 'Score!' program"
"'Score!' is a program for scorekeeping aerobatic contests"
""
"Contest Name:","copa ACONCAGUA 2da Fecha Chile"
"Type:","Pilot Report"
"Timestamp:","1-nov-2022 10:09"
"Pilot:","Sergio Pizarro / CACH #110 / Basic"
""
"Known Flights: Rounds 1-4, Judge/Sheet #1"
" "
"R1/S1","R1/S2","R2/S1","R2/S2","R3/S1","R4/S1"
"3: Humpty Bump (k=17)",3.0,3.0,4.0,0.0,4.0,6.0
"4: 360 Aerobatic Turn (k=6)",4.0,4.0,4.0,5.0,4.0,5.0
"5: Stall Turn Hamerhead (k=17)",0.0,4.0,5.0,4.0,3.0,0.0
"6: Reverse 1/2 Cuban (k=16)",2.0,5.0,6.0,5.0,5.0,6.0
"7: Loop (k=10)",4.0,4.0,5.0,5.0,5.0,7.0
"8: Vertical 5/8 Loop/Reverse Tear Drop (k=16)",0.0,0.0,5.0,6.0,4.0,6.0
"9: 1/2 Inside Loop (Immelmann) (k=10)",4.0,2.0,0.0,6.0,5.0,3.0
"10: 1 1/2 PositiveTurn Spin (k=13)",0.0,0.0,0.0,0.0,0.0,6.0
"11: Sound (k=3)",5.0,5.0,5.0,5.0,8.0,6.0
"12: Airspace Control (k=3)",5.0,5.0,5.0,5.0,5.0,6.0
"Simple Sum",30.0,40.0,49.0,52.0,54.0,62.0
"K-Factored Sum",247.0,414.0,568.0,566.0,571.0,690.0
"Penalty",0.0,0.0,0.0,0.0,0.0,0.0
"Flight Score",247.0,414.0,568.0,566.0,571.0,690.0
""
""
